timestamp,service,metric_name,value,unit
2026-03-20T11:00:00Z,checkout-service,error_rate,0.01,ratio
2026-03-20T11:00:00Z,checkout-service,request_latency_ms,120,ms
2026-03-20T11:00:00Z,checkout-service,cpu_usage,35,percent
2026-03-20T11:00:00Z,checkout-service,memory_usage_mb,420,mb
2026-03-20T11:00:00Z,checkout-service,request_count,1200,count
2026-03-20T11:00:00Z,checkout-service,service_unavailable,0,ratio
2026-03-20T11:05:00Z,checkout-service,error_rate,0.015,ratio
2026-03-20T11:05:00Z,checkout-service,request_latency_ms,130,ms
2026-03-20T11:05:00Z,checkout-service,cpu_usage,36,percent
2026-03-20T11:05:00Z,checkout-service,memory_usage_mb,430,mb
2026-03-20T11:05:00Z,checkout-service,request_count,1180,count
2026-03-20T11:05:00Z,checkout-service,service_unavailable,0,ratio
2026-03-20T11:10:00Z,checkout-service,error_rate,0.012,ratio
2026-03-20T11:10:00Z,checkout-service,request_latency_ms,125,ms
2026-03-20T11:10:00Z,checkout-service,cpu_usage,34,percent
2026-03-20T11:10:00Z,checkout-service,memory_usage_mb,425,mb
2026-03-20T11:10:00Z,checkout-service,request_count,1210,count
2026-03-20T11:10:00Z,checkout-service,service_unavailable,0,ratio
2026-03-20T11:15:00Z,checkout-service,error_rate,0.22,ratio
2026-03-20T11:15:00Z,checkout-service,request_latency_ms,1900,ms
2026-03-20T11:15:00Z,checkout-service,cpu_usage,96,percent
2026-03-20T11:15:00Z,checkout-service,memory_usage_mb,1200,mb
2026-03-20T11:15:00Z,checkout-service,request_count,120,count
2026-03-20T11:15:00Z,checkout-service,service_unavailable,1,ratio
